signal_date,ts_code,ensemble_score,rank,return_pct,hold_days
2026-03-13,600519.SH,0.8154648767857288,1,,5
2026-03-13,603259.SH,0.9478553636438288,1,,5
2026-03-13,600030.SH,0.7153382790366966,2,,5
2026-03-13,002594.SZ,0.6204876235130498,2,,5
2026-03-13,000858.SZ,0.4731973151785931,3,,5
2026-03-13,601398.SH,0.4567704833499196,3,,5
2026-03-13,000568.SZ,0.428103593554011,4,,5
2026-03-13,600036.SH,0.4203493994880028,4,,5
2026-03-13,601166.SH,0.3723289995299852,5,,5
2026-03-13,600585.SH,0.3182463039332734,6,,5
2026-03-13,600276.SH,0.3074834316919345,7,,5
2026-03-13,000333.SZ,0.3006423419445297,8,,5
2026-03-13,601888.SH,0.2369638409109572,9,,5
2026-03-13,000001.SZ,0.1861979918864669,10,,5
2026-03-13,002415.SZ,0.1520690032847969,11,,5
2026-03-13,601318.SH,0.1369958230330909,12,,5
2026-03-13,600900.SH,0.0521446363561711,13,,5
2026-03-13,300750.SZ,0.0185742942392024,14,,5
2026-03-13,600809.SH,0.0164498012831361,15,,5
