ts_code,ensemble_score,rank,signal_date,model,pred_score
600519.SH,0.8154648767857288,1.0,2026-03-13,ensemble,
600030.SH,0.7153382790366966,2.0,2026-03-13,ensemble,
000858.SZ,0.4731973151785931,3.0,2026-03-13,ensemble,
000568.SZ,0.428103593554011,4.0,2026-03-13,ensemble,
600276.SH,0.3286185913860017,5.0,2026-03-13,ensemble,
600519.SH,,,2026-03-13,catboost,0.0270356513856439
000858.SZ,,,2026-03-13,catboost,0.0174115969802327
000568.SZ,,,2026-03-13,catboost,0.0118730420322889
600030.SH,,,2026-03-13,catboost,0.0077473608780746
600809.SH,,,2026-03-13,catboost,0.0061827737692846
600030.SH,,,2026-03-13,ridge,0.0152774324447375
600519.SH,,,2026-03-13,ridge,0.0106085997993741
000001.SZ,,,2026-03-13,ridge,0.0080767532449859
000333.SZ,,,2026-03-13,ridge,0.0019274056388518
603259.SH,0.9478553636438289,1.0,2026-03-13,ensemble,
002594.SZ,0.6204876235130498,2.0,2026-03-13,ensemble,
601398.SH,0.4567704833499196,3.0,2026-03-13,ensemble,
600036.SH,0.4203493994880028,4.0,2026-03-13,ensemble,
601166.SH,0.37232899952998527,5.0,2026-03-13,ensemble,
603259.SH,,,2026-03-13,catboost,0.017265517550386612
002594.SZ,,,2026-03-13,catboost,0.015569319131159795
601888.SH,,,2026-03-13,catboost,0.00893701889714764
601398.SH,,,2026-03-13,catboost,0.008492182854312998
600036.SH,,,2026-03-13,catboost,0.007250149271242143
603259.SH,,,2026-03-13,lgbm,0.01772118765396098
002594.SZ,,,2026-03-13,lgbm,0.014681690154959123
601398.SH,,,2026-03-13,lgbm,0.0070893586132813255
600036.SH,,,2026-03-13,lgbm,0.005289526954940504
601166.SH,,,2026-03-13,lgbm,0.005157899011572131
600900.SH,,,2026-03-13,ridge,0.016344138744210007
600036.SH,,,2026-03-13,ridge,0.006442201030786465
600585.SH,,,2026-03-13,ridge,0.005775549862764918
002594.SZ,,,2026-03-13,ridge,0.005675564301894524
601166.SH,,,2026-03-13,ridge,0.0035958870441115515
