ts_code,pred_score,model,signal_date,rank_in_model
603259.SH,0.017265517550386612,catboost,2026-03-13,1
002594.SZ,0.015569319131159795,catboost,2026-03-13,2
601888.SH,0.00893701889714764,catboost,2026-03-13,3
601398.SH,0.008492182854312998,catboost,2026-03-13,4
600036.SH,0.007250149271242143,catboost,2026-03-13,5
601166.SH,0.006424293608281902,catboost,2026-03-13,6
000333.SZ,0.005830338448956459,catboost,2026-03-13,7
600276.SH,0.00478845575385256,catboost,2026-03-13,8
600585.SH,0.004115044116465993,catboost,2026-03-13,9
601318.SH,0.003302381665027173,catboost,2026-03-13,10
603259.SH,0.01772118765396098,lgbm,2026-03-13,1
002594.SZ,0.014681690154959123,lgbm,2026-03-13,2
601398.SH,0.0070893586132813255,lgbm,2026-03-13,3
600036.SH,0.005289526954940504,lgbm,2026-03-13,4
601166.SH,0.005157899011572131,lgbm,2026-03-13,5
000001.SZ,0.00477317596721145,lgbm,2026-03-13,6
600276.SH,0.004576714924183482,lgbm,2026-03-13,7
600585.SH,0.0035187130439730705,lgbm,2026-03-13,8
000333.SZ,0.0034724361442428336,lgbm,2026-03-13,9
002415.SZ,0.002799630211557833,lgbm,2026-03-13,10
600900.SH,0.016344138744210007,ridge,2026-03-13,1
600036.SH,0.006442201030786465,ridge,2026-03-13,2
600585.SH,0.005775549862764918,ridge,2026-03-13,3
002594.SZ,0.005675564301894524,ridge,2026-03-13,4
601166.SH,0.0035958870441115515,ridge,2026-03-13,5
300750.SZ,0.0027089501075064203,ridge,2026-03-13,6
000001.SZ,0.002295216976442308,ridge,2026-03-13,7
600809.SH,0.0015945156838233256,ridge,2026-03-13,8
601398.SH,-0.0012407635405757029,ridge,2026-03-13,9
002415.SZ,-0.002108677910474685,ridge,2026-03-13,10
