datetime,instrument,name,score,rank
2025-07-04,000001.SZ,,1.194607607406184,1.0
2025-07-04,600519.SH,,0.8870557643596418,2.0
2025-07-04,600276.SH,,0.7342141943702053,3.0
2025-07-04,601318.SH,,0.570391466826671,4.0
2025-07-04,600036.SH,,0.544008467969069,5.0
2025-07-04,000568.SZ,,0.4872386959284578,6.0
2025-07-04,600030.SH,,0.46574071850789,7.0
2025-07-04,601012.SH,,0.32341659093756087,8.0
2025-07-04,601398.SH,,0.27566612268190754,9.0
2025-07-04,603259.SH,,0.18960716343129314,10.0
2025-07-04,000333.SZ,,0.1659544920129324,11.0
2025-07-04,601166.SH,,0.0953801619802961,12.0
2025-07-04,000858.SZ,,0.09032724404311458,13.0
2025-07-04,600585.SH,,0.056054208214896824,14.0
2025-07-04,600809.SH,,0.026339760286441256,15.0
2025-07-04,601888.SH,,-0.20814413970465157,16.0
2025-07-04,600900.SH,,-0.360313441368051,17.0
2025-07-04,002415.SZ,,-0.7806393467638204,18.0
2025-07-04,002594.SZ,,-2.3296360215690144,19.0
2025-07-04,300750.SZ,,-2.4272697095510245,20.0
2025-07-11,600036.SH,,1.1510569144921652,1.0
2025-07-11,601166.SH,,1.0986100918385182,2.0
2025-07-11,600276.SH,,1.0803240566756416,3.0
2025-07-11,000568.SZ,,0.7092408225219803,4.0
2025-07-11,000001.SZ,,0.6533123807244713,5.0
2025-07-11,601398.SH,,0.5919186541388761,6.0
2025-07-11,600900.SH,,0.39704075224117674,7.0
2025-07-11,000333.SZ,,0.1954340757366938,8.0
2025-07-11,600585.SH,,0.04987148944833511,9.0
2025-07-11,601012.SH,,0.03568199523068455,10.0
2025-07-11,002415.SZ,,-0.014702407110464201,11.0
2025-07-11,600519.SH,,-0.18632373331615437,12.0
2025-07-11,601888.SH,,-0.20365612109732864,13.0
2025-07-11,601318.SH,,-0.23419036398333684,14.0
2025-07-11,600809.SH,,-0.3509768855650121,15.0
2025-07-11,000858.SZ,,-0.43905734284335585,16.0
2025-07-11,300750.SZ,,-0.4747794511893163,17.0
2025-07-11,002594.SZ,,-1.1225319306853163,18.0
2025-07-11,600030.SH,,-1.1994769251258208,19.0
2025-07-11,603259.SH,,-1.7367960721324365,20.0
2025-07-18,601012.SH,,1.390149827834909,1.0
2025-07-18,600585.SH,,1.0658302771804622,2.0
2025-07-18,600036.SH,,0.7998403542899633,3.0
2025-07-18,002594.SZ,,0.5413887390540995,4.0
2025-07-18,600030.SH,,0.4901073789863087,5.0
2025-07-18,601888.SH,,0.39422161646203885,6.0
2025-07-18,600900.SH,,0.3644546288493445,7.0
2025-07-18,000858.SZ,,0.2286543436332441,8.0
2025-07-18,000333.SZ,,0.19012553420288159,9.0
2025-07-18,002415.SZ,,0.11407380155328874,10.0
2025-07-18,600809.SH,,-0.11680176980703726,11.0
2025-07-18,600519.SH,,-0.20394325240811842,12.0
2025-07-18,603259.SH,,-0.23537710123989514,13.0
2025-07-18,000568.SZ,,-0.305602789198144,14.0
2025-07-18,300750.SZ,,-0.3118829032326693,15.0
2025-07-18,601318.SH,,-0.3908440027353562,16.0
2025-07-18,601166.SH,,-0.5115426779062967,17.0
2025-07-18,601398.SH,,-0.6909919534341515,18.0
2025-07-18,600276.SH,,-1.3583262638441156,19.0
2025-07-18,000001.SZ,,-1.4535337882407549,20.0
2025-07-25,603259.SH,,2.93534012581902,1.0
2025-07-25,600276.SH,,1.4665396450370707,2.0
2025-07-25,000858.SZ,,0.5419323673423422,3.0
2025-07-25,000568.SZ,,0.4878510402929596,4.0
2025-07-25,601318.SH,,0.43172722243911704,5.0
2025-07-25,002415.SZ,,0.3174899481339293,6.0
2025-07-25,600030.SH,,0.25434621407893165,7.0
2025-07-25,000333.SZ,,-0.006508817658185909,8.0
2025-07-25,601012.SH,,-0.12235103817602995,9.0
2025-07-25,600809.SH,,-0.1543277498488593,10.0
2025-07-25,600519.SH,,-0.17434355305694096,11.0
2025-07-25,300750.SZ,,-0.18231380404624625,12.0
2025-07-25,601398.SH,,-0.2672047960476735,13.0
2025-07-25,600036.SH,,-0.34591958066519635,14.0
2025-07-25,002594.SZ,,-0.4991299124687704,15.0
2025-07-25,600900.SH,,-0.5344852086591244,16.0
2025-07-25,601166.SH,,-0.6307939727700237,17.0
2025-07-25,000001.SZ,,-0.7412624288711311,18.0
2025-07-25,601888.SH,,-1.3568100271878452,19.0
2025-07-25,600585.SH,,-1.4197756736873437,20.0
2025-08-01,601888.SH,,2.2591130380857223,1.0
2025-08-01,000568.SZ,,0.7478209414399428,2.0
2025-08-01,601398.SH,,0.6899353745359018,3.0
2025-08-01,000858.SZ,,0.5138544672966077,4.0
2025-08-01,600809.SH,,0.4073075385798978,5.0
2025-08-01,601318.SH,,0.3686210217487666,6.0
2025-08-01,600030.SH,,0.31384479559522566,7.0
2025-08-01,002415.SZ,,0.15461737407500978,8.0
2025-08-01,600036.SH,,0.13957204025952527,9.0
2025-08-01,000333.SZ,,-0.0031911361020075107,10.0
2025-08-01,600900.SH,,-0.019148081251263743,11.0
2025-08-01,601166.SH,,-0.13936593720976553,12.0
2025-08-01,300750.SZ,,-0.21801791437217524,13.0
2025-08-01,601012.SH,,-0.23857105660021136,14.0
2025-08-01,600519.SH,,-0.2415198187320407,15.0
2025-08-01,000001.SZ,,-0.31940716946860703,16.0
2025-08-01,002594.SZ,,-0.3847031732458409,17.0
2025-08-01,600585.SH,,-0.8363420434421982,18.0
2025-08-01,600276.SH,,-1.0719879309989468,19.0
2025-08-01,603259.SH,,-2.122432330193542,20.0
2025-08-08,603259.SH,,2.582389801487067,1.0
2025-08-08,002415.SZ,,1.081775157553389,2.0
2025-08-08,600276.SH,,0.7674429530027091,3.0
2025-08-08,000568.SZ,,0.7372546536625351,4.0
2025-08-08,300750.SZ,,0.5650982580276784,5.0
2025-08-08,601398.SH,,0.3981155198067191,6.0
2025-08-08,002594.SZ,,0.39240911565419034,7.0
2025-08-08,601888.SH,,0.1182421059176986,8.0
2025-08-08,600585.SH,,0.10873786373416566,9.0
2025-08-08,600030.SH,,0.09494773308923415,10.0
2025-08-08,601318.SH,,0.05137818120253618,11.0
2025-08-08,600809.SH,,-0.313053702506338,12.0
2025-08-08,000333.SZ,,-0.3456767057718841,13.0
2025-08-08,000858.SZ,,-0.4208115015967473,14.0
2025-08-08,601166.SH,,-0.6824465928017691,15.0
2025-08-08,600900.SH,,-0.7598813118759208,16.0
2025-08-08,600519.SH,,-0.8127035958580061,17.0
2025-08-08,600036.SH,,-0.9089612059961952,18.0
2025-08-08,601012.SH,,-1.0945072375865177,19.0
2025-08-08,000001.SZ,,-1.559749489144544,20.0
2025-08-15,002415.SZ,,1.8576027589714477,1.0
2025-08-15,600276.SH,,1.287677090723651,2.0
2025-08-15,600585.SH,,0.9673760123666597,3.0
2025-08-15,000568.SZ,,0.8302204069931801,4.0
